POINT_TYPE,AveTree,AvePFG,AveAFG,AveShrub,AveLit,AveBG,AveTemp,AvePrecip,AveCrop,DensOil,DensWind,DensRoadway,DistHighway,DistWind,DistTrans,DistRoadway,DistOil,Ruggedness,VarPFG,VarShrub,VarBG,VarAFG,VarLit
LEK,2.774703026,73.78250122,5.695006371,2.87374115,5.906885624,6.587862968,25.98867607,580.5780029,0.151008964,3,0,2410.295654,2752.145752,32918.26563,12801.98438,483.7964172,706.2202759,13.56892586,17.73552132,1.981775999,8.837418556,6.51330328,3.834624052
LEK,2.62558651,74.44280243,5.852190495,3.41973424,5.580764294,5.824997902,25.95908737,580.7696533,0.129314288,3,0,2027.929688,1855.797729,34776.61328,14589.47852,248.1434174,2490.208496,11.63004112,16.63806152,4.024864674,7.984675884,6.039239407,3.572719812
LEK,2.615676165,73.9683609,6.072494507,3.593702078,5.623809338,5.783052444,25.94915962,580.8399048,0.122643173,4,0,2125.532959,1231.079468,34866.20703,15178.70605,400.4880981,2292.602783,11.41486454,16.43464851,4.291088104,7.902786255,5.95271349,3.552621603
LEK,2.687465429,73.6654892,6.109427929,3.8489182,5.599390507,5.645247459,25.9426899,580.8056641,0.109530531,4,0,2090.572021,1095.264526,35188.86328,15279.42578,509.1101074,1895.338257,11.61020851,16.18650818,4.942121983,7.721148491,5.783516884,3.45188427
LEK,2.768262386,72.17468262,6.652252197,3.767275095,5.856317997,6.088328362,25.93927956,580.9000244,0.122541457,4,0,2035.099731,127.0688477,34791.22266,14366.8125,119.344986,587.6107788,11.00850296,16.88595963,4.469455242,8.169127464,5.942269802,3.60138464
LEK,2.96810627,72.51146698,7.402546406,4.254388809,5.302812099,4.531776428,25.93093109,580.217041,0.066554949,11,0,1893.177368,154.1721649,36340.63281,14723.20508,154.1721649,1732.649414,12.70541477,13.21482563,5.095135212,4.149139404,5.68686676,2.385715723
LEK,2.926001072,70.38463593,7.637095451,3.884150028,5.969845772,6.43148756,25.94357872,580.9963379,0.156283975,6,0,2206.535645,1566.705933,34091.80859,13147.06738,92.82504272,956.8695679,11.18850327,17.42939186,4.070550919,7.81691885,6.379599094,3.30698204
LEK,3.040478468,69.56723022,7.944420815,3.492680073,6.247355461,7.144819736,25.96766663,581.5710449,0.187323019,1,0,1915.183716,2348.26709,32112.56836,11667.15723,881.4804077,2639.780518,12.99628067,19.03461456,3.40340519,8.801481247,7.318784237,3.717358351
LEK,2.755192518,77.0007019,5.673436642,2.843013287,4.961242199,4.230186462,26.14095497,591.4814453,0.084117413,0,0,2276.474854,2286.36792,21415.71484,3820.532471,150.8315735,5738.453613,12.74950695,11.52565575,1.965622187,3.953613281,6.001448631,1.964002967
LEK,2.472755909,77.65646362,5.830489159,2.634970427,4.823803902,4.142168045,26.14698029,588.8670044,0.045958724,1,0,1886.129883,4299.936035,21867.44727,3447.154053,253.6529846,4131.887695,15.93079185,11.91099548,2.008980036,4.607661724,5.517045021,2.065186977
LEK,2.904215097,76.3013916,6.190516472,2.795295,4.93748188,4.346374989,26.17814636,591.0385132,0.059774775,2,0,1725.012817,5872.198242,20513.77344,2418.666992,627.5011597,4454.703125,15.41414356,12.92440891,2.067901373,4.615831375,6.036214352,2.038968801
LEK,2.424407482,77.19411469,6.321015835,2.658119678,4.799337864,4.047408104,26.13008881,587.0028076,0.058881428,2,0,1914.57251,2670.079834,22493.97656,3547.049561,506.4483948,3327.245605,15.85844326,12.03612518,2.19927907,4.552597046,5.622567177,2.160218
LEK,2.915535927,68.38022614,8.553966522,3.531616449,6.72567749,7.018363476,25.96759033,577.4709473,0.212138176,13,0,2912.667969,7922.867188,34962.09766,9577.558594,580.8755493,1477.789917,16.89297867,19.1004467,2.936945915,7.927722931,7.742288113,4.651995182
LEK,2.655956984,75.85761261,7.12740612,2.677404404,4.864667892,4.192011356,26.11581802,584.8699341,0.069705449,2,0,1771.937866,741.4508667,23622.98828,3770.086914,172.6257324,1817.441284,16.64767075,13.58611298,2.138287783,4.959785938,6.446002483,2.391628504
LEK,3.150592804,60.86115265,11.67523289,3.027634382,7.426729679,10.66751289,25.69734573,545.2719116,0.352347463,17,0,2682.364746,5260.519531,9739.958984,5897.977051,399.3475342,1416.613281,10.78730297,26.56385612,2.295601845,12.63723755,11.53394604,5.272893429
LEK,2.034535885,74.22997284,6.284900188,2.841048241,5.78059864,6.189670086,25.74651909,576.069458,0.160219997,13,0,2828.453613,8574.691406,36124.48438,8610.84082,367.5137024,2416.225342,16.71234703,17.72245216,2.095695496,6.980064392,7.672527313,3.376675844
LEK,2.686506271,69.65701294,8.133207321,3.384540081,6.479036808,6.720722675,25.94968605,576.7612305,0.188422844,14,0,2813.804443,8574.810547,35579.36328,9681.375977,240.9276581,2646.061523,17.2149334,18.62518311,2.618669987,7.740221024,7.625339031,4.257204533
LEK,4.536768913,66.88793182,10.23581886,4.465910912,5.632290363,5.31051302,26.12129211,581.2216797,0.136329591,1,0,1811.142944,3387.445068,26776.08008,4857.880371,779.8676758,3988.516357,19.4973259,18.47146606,5.603164673,6.512042522,8.241165161,3.338019609
LEK,2.881742954,75.88020325,6.902917862,2.908709764,4.779423237,3.942324162,26.16703987,585.8583984,0.054840546,2,0,1679.72876,1990.985229,22054.27539,2390.901367,1123.329468,1762.413818,18.1126976,12.36415958,2.574134111,4.388897419,5.788754463,2.069705963
LEK,2.932310343,59.43819046,12.65189552,2.899363518,7.693229198,11.29846859,25.69102097,541.8522949,0.39577502,19,0,3060.740723,3220.077637,7346.926758,3553.283936,11.32825184,543.2463989,9.601682663,27.43669891,2.310076714,13.64529896,12.80607414,5.813770294
LEK,3.331340075,69.99886322,7.688875675,3.530055523,5.69712162,5.715805054,25.81159019,573.1503296,0.070300788,6,0,2150.753906,8301.208984,18340.74219,8356.994141,645.3950195,596.335083,18.54846573,14.65161514,1.84734261,6.276630878,7.622551918,2.580010176
LEK,3.147800207,67.06448364,9.50508213,3.083871603,6.228756905,7.775577545,25.71370125,549.031189,0.213637695,16,0,2666.745117,7131.663086,10941.42773,6203.780762,482.5663757,1840.03418,11.79400444,22.50564766,2.084958076,9.671317101,10.03788662,3.91955471
