POINT_C,POINT_TYPE,AveTree,AvePFG,AveAFG,AveShrub,AveLit,AveBG,AveTemp,AvePrecip,AveCrop,AveElev,DensOil,DensWind,DensRoadway,DistHighway,DistWind,DistTrans,DistRoadway,DistOil,Ruggedness,VarPFG,VarShrub,VarBG,VarAFG,VarLit,Data_set,Stable_lek,PT_Type
STABLE,LEK,2.075446844,58.77426147,14.27240372,6.907139301,7.22285223,7.006252766,25.95289803,474.100769,0.188355252,836.848877,0,0,1396.136108,9309.713867,20317.23633,7714.290039,789.4622192,8094.371094,15.80678844,18.04025841,6.284626961,7.064276695,11.22549152,3.991353273,A,1,1
STABLE,LEK,2.478416204,34.36957169,16.35151863,4.367004395,15.59610939,23.72410774,25.94763184,472.2796021,0.245807886,843.3505859,0,0,1635.29126,10107.84766,28439.58398,7394.63916,1177.550171,6382.682617,13.77183533,20.39758492,4.213721275,13.1412735,15.05186081,6.101518631,O,1,1
STABLE,LEK,2.811683655,61.54349136,19.68684387,3.725696564,3.821791649,4.406833649,27.09336472,626.9162598,0.155502021,535.1669922,6,0,668.3712158,6891.205078,12796.87109,10213.03223,1093.592285,3328.575684,13.72259808,16.33950233,4.419340611,5.746032238,12.7589941,3.080232382,A,1,1
STABLE,LEK,2.904713631,42.95321274,14.54745007,8.942540169,12.28099823,16.33410454,26.06088448,510.0372314,0.01808116,792.6401367,9,0,1885.08374,12589.29004,36331.93359,5308.409668,357.4212341,2242.002197,20.68255424,18.69338608,5.809549332,8.043064117,10.42218304,4.374121189,O,1,1
STABLE,LEK,2.302172899,75.4184494,8.954500198,2.849491835,3.530864239,3.91885519,27.03434753,633.5526123,0.027716571,526.2280884,4,0,1080.122192,1887.237915,22721.94922,2933.530518,1291.966187,4316.84375,21.22644997,14.88320637,2.781057358,6.266996384,7.575987339,2.151041031,A,1,1
STABLE,LEK,3.050529957,70.628479,10.37583351,3.762244701,4.960471153,4.760523796,26.18506432,543.6272583,0.013131686,774.2078247,3,0,1135.292847,3378.731689,34593.92188,17655.8418,958.4576416,2551.668213,20.00745201,13.13228607,3.826933146,3.538045168,6.704920292,2.293413639,A,1,1
STABLE,LEK,3.321128607,66.49273682,13.25618458,4.503267288,4.917736053,4.404511452,26.11237907,536.2858276,0.043701891,786.4282837,3,0,1167.314209,4170.103027,32168.41992,13696.625,936.1294556,3419.001221,27.54648972,13.67043018,5.005059719,4.614377022,8.309790611,2.762980461,A,1,1
STABLE,LEK,2.557276249,65.45235443,13.97781944,3.791110754,5.321542263,5.332863331,25.99749565,535.1569824,0.098762386,799.9490356,1,0,1183.095215,2296.384766,32855.94141,13619.81055,1396.280762,4971.891602,18.07411194,16.09781647,3.59793663,7.364368916,9.35193634,4.150530815,A,1,1
STABLE,LEK,1.807838082,66.49203491,13.0192852,4.53475666,4.642360687,5.331829071,26.00035858,535.7150269,0.07589642,798.567688,5,0,835.5335693,1997.626465,37476.07813,18221.44336,413.6517029,1634.259888,18.75531387,15.24658871,4.440490723,7.281401157,8.259919167,3.543660402,A,1,1
STABLE,LEK,3.342820644,65.49803925,14.05342579,2.210638046,6.035701752,6.403740406,26.78848267,573.9042969,0.292155445,643.8965454,3,0,2217.953613,3641.326416,27610.0293,23979.08203,500.7180176,3025.887207,24.20971489,24.85509682,2.268112183,8.065748215,15.06289482,5.433031082,A,1,1
STABLE,LEK,2.905822992,69.70127869,6.168175697,3.592978001,7.798501015,7.663826942,26.48396873,646.7368164,0.000262542,618.0432129,2,0,1166.30957,12983.20703,38440.13281,12902.21582,43.1083107,2172.476074,17.538517,12.76242638,2.671153069,4.684704781,4.528491497,2.619096041,O,1,1
STABLE,LEK,2.560078144,77.58444214,8.110462189,3.412813902,3.145280361,2.626573801,26.53596306,645.1100464,0.004171846,615.031189,0,0,1228.400635,10466.44238,41864.42578,14205.89258,87.38631439,5093.568359,17.72849846,12.12185001,3.969377995,2.465792656,6.255395889,1.575550199,A,1,1
STABLE,LEK,2.008396626,68.95622253,13.1398077,2.128712893,5.680855274,5.979812622,26.77502441,586.4032593,0.185783207,585.7471313,4,0,1203.21875,13222.02539,27659.86523,18171.5918,382.9373169,1743.685547,12.95885944,20.67163658,1.738953233,6.610651493,12.23424339,3.971665382,A,1,1
STABLE,LEK,1.758793831,69.91544342,13.24744987,2.148674726,5.308924198,5.656511784,26.78648949,589.0098267,0.174285248,588.3282471,5,0,1398.857544,10940.33691,26894.70898,18303.5332,1137.422852,1610.842285,16.24839401,18.28062248,1.731166124,5.447799206,11.61455154,3.244353056,A,1,1
STABLE,LEK,1.690850258,57.13378906,11.85509586,4.303404808,8.954575539,14.17992878,26.35437584,536.7648926,0.04633297,724.5053711,7,0,1369.461182,11671.7832,59755.77344,30211.25195,1442.614746,3547.777344,17.60377693,18.98725319,2.70358181,9.74379158,9.560349464,5.235296249,O,1,1
STABLE,LEK,1.482346535,59.06574249,11.79270935,4.338805676,9.334959984,12.59285545,26.2839222,533.9439087,0.066799842,733.748291,10,0,1105.772705,9690.541016,58475.44531,28145.74609,815.5861206,2123.704346,18.73134041,18.20896721,2.748314381,8.304652214,9.707317352,5.210430145,O,1,1
STABLE,LEK,1.499666214,74.69405365,10.72808456,1.926066995,4.70922327,4.660385609,26.77939796,588.1925659,0.091748081,581.9255981,5,0,969.4314575,10800.38672,28442.64453,16676.97852,1301.576416,2386.577148,16.32365417,14.80745697,1.527139425,4.572104931,8.87603569,2.593983412,A,1,1
STABLE,LEK,1.508956075,54.80392838,13.13929081,3.64369607,9.606132507,15.42955017,26.34975433,539.0100098,0.045636665,727.7941895,5,0,1468.306274,13469.44824,57502.5,30155.06836,1081.104492,1210.171997,10.17143059,22.07096481,2.041906357,11.96989059,11.86598301,6.615814209,O,1,1
STABLE,LEK,1.487508535,76.07915497,10.26326466,1.849303722,4.412108898,4.107895374,26.76817894,587.5413208,0.056165706,578.5040894,4,0,751.012146,11044.86035,29371.76953,15757.35254,1227.101196,2612.388184,14.44608307,13.58691883,1.448386431,3.707078695,8.352520943,2.218170643,A,1,1
STABLE,LEK,1.925634503,57.89424896,10.92006779,4.687079906,9.801670074,12.76151085,26.19001007,529.2649536,0.142514691,743.6554565,20,0,817.940979,6180.924316,57947.48438,25277.26367,1000.201416,889.7473755,21.41184616,15.73129177,2.5807724,5.969874382,8.90935421,4.297194481,O,1,1
STABLE,LEK,2.058992147,71.81515503,10.71795845,2.683422089,5.405498505,5.393331528,26.71511459,566.2193604,0.052108444,600.2892456,14,0,1208.10083,4561.808105,32940.43359,13384.27246,1187.74585,3900.512695,7.17698288,16.10077667,2.048163652,4.514492035,9.715947151,3.081903458,A,1,1
STABLE,LEK,2.136855602,58.94628143,14.9879837,4.391366482,7.78696394,8.333888054,26.70250511,576.6235962,0.022475885,583.1104736,11,0,45.86784363,12366.70313,41296.27734,15105.7666,4266.28125,2694.003662,5.673956394,19.89337158,2.825422287,5.416129589,10.47724438,3.982838869,O,1,1
STABLE,LEK,1.848090768,76.18577576,9.513338089,2.266029119,4.486126423,4.153733253,26.68517876,570.9946289,0.014639698,590.8511353,17,0,357.7027588,8222.484375,31830.90039,14322.27148,2375.473633,488.9217529,5.340144634,12.25824451,1.697293401,3.014865637,6.939538002,2.364136219,A,1,1
STABLE,LEK,1.997611761,73.72558594,10.58311462,2.010173559,4.907186508,4.825420856,26.67629051,576.3217773,0.07121893,582.8820801,13,0,115.7815552,12304.2627,31594.99805,14099.36328,3388.623047,2895.686768,5.539819241,17.32936859,1.480105996,5.817070484,9.1359272,3.785948515,A,1,1
STABLE,LEK,1.959145546,75.02111816,10.31614494,2.03955698,4.687869549,4.314424515,26.66130447,573.1925659,0.047034342,586.9859009,16,0,293.7215881,10114.91406,31120.89648,13678.70215,3669.607666,1009.400879,5.371975422,15.6465292,1.539932251,4.442613602,8.660552025,3.476211309,A,1,1
STABLE,LEK,1.400769114,69.05052948,11.97472572,3.911624432,5.326601028,4.712927818,26.26906395,535.8201294,0.068625376,727.6221924,11,0,1491.383057,11746.67969,39580.43359,26973.83789,540.0449829,1574.711914,15.34775066,14.91099072,3.259159327,5.575525284,9.416415215,2.804192781,A,1,1
STABLE,LEK,2.201761961,71.14334106,11.48512936,1.892349005,5.159732342,6.016802311,26.67199707,580.600708,0.128846079,579.1640015,6,0,776.6226196,14581.74707,31129.7832,12956.42578,1580.526978,922.3197632,7.453970909,21.0961113,1.501892686,8.296239853,10.42064571,4.012891769,A,1,1
STABLE,LEK,1.216279745,57.49358368,13.05095291,4.035119057,9.464603424,12.9464426,26.26046181,535.2215576,0.050704867,729.0823364,11,0,1513.542969,11258.50781,54325.86719,26514.44531,132.5881195,1304.357056,15.97959232,21.35600471,2.396095753,10.73220825,11.51150799,5.690187931,O,1,1
STABLE,LEK,2.387981415,71.33061218,11.78282738,1.890534401,4.994894505,5.441915035,26.68212891,582.9373169,0.126473218,576.6636353,7,0,1030.443481,13408.13965,30966.80469,12359.60156,518.7562256,1880.488037,8.759795189,20.421175,1.540857077,7.206709385,10.37044334,3.920853138,A,1,1
STABLE,LEK,2.584769487,69.92421722,12.17762566,1.891766071,5.23067522,5.984166145,26.66825676,582.4274292,0.148347631,577.8579102,8,0,1103.077637,13410.67773,30356.45117,11765.0791,385.296875,1701.714478,9.527984619,21.9535923,1.600251079,8.336038589,10.80379772,4.355084419,A,1,1
STABLE,LEK,2.630362988,69.53970337,12.33239269,1.878668189,5.29966259,6.103353977,26.66374588,582.2877197,0.155787528,578.269043,9,0,1116.845215,13220.625,30164.60547,11575.73828,195.2874908,1712.949829,9.758467674,22.3784256,1.591924667,8.534801483,10.98738575,4.488863468,A,1,1
STABLE,LEK,2.816065311,67.09470367,14.10264874,1.788205266,5.528165817,6.564450264,26.61783981,581.0665894,0.198968589,581.7521362,11,0,1290.736694,11862.65039,28809.94727,10219.13477,468.5753479,1258.292847,11.00055981,24.40475655,1.538049698,9.419773102,13.02438354,4.868256569,A,1,1
STABLE,LEK,4.215950489,62.86652756,12.03786469,2.855020523,7.31598568,8.10323143,26.55232239,565.2225952,0.200539455,601.7227783,23,0,966.5569458,4951.784668,27056.64258,8541.286133,2698.260986,810.329895,7.402982235,23.24886131,2.276141167,9.261385918,8.066206932,6.435718536,A,1,1
STABLE,LEK,2.896806002,65.19725037,15.40296936,1.826088548,5.696623325,6.885842323,26.59385109,580.2369385,0.229118764,583.7828369,11,0,1419.196777,11295.93848,28221.7207,9659.479492,101.8469086,1041.064819,11.42220402,25.1460762,1.554301858,9.718082428,14.33600426,5.073970318,A,1,1
STABLE,LEK,3.069231749,66.47205353,11.59120083,3.354837179,6.352138519,6.951247215,26.56363106,561.3334351,0.100611567,608.46875,24,0,608.6633301,2542.845459,26770.49414,7086.919434,2994.45752,987.2297974,9.039642334,19.02395821,2.603933334,6.613185883,7.890582561,4.636776447,A,1,1
STABLE,LEK,3.067868233,64.36304474,15.63806343,1.849068642,5.807255268,7.102395058,26.56813622,580.1860352,0.243325502,585.6513672,11,0,1588.561035,10477.04395,27472.39453,8827.753906,355.7735291,1718.969238,12.00701046,25.48206329,1.588509798,9.956392288,14.19640541,5.116628647,A,1,1
STABLE,LEK,3.541959286,47.71873856,14.84540176,3.143757105,12.29623985,15.05385876,26.54813385,579.1472778,0.244666398,587.637146,13,0,1585.037109,10071.98828,43990.96875,8434.501953,307.3871765,1508.670654,12.40022945,22.60680199,2.457084417,11.61753273,10.2128849,8.418527603,O,1,1
STABLE,LEK,4.253890514,58.8589592,12.87249088,3.342350483,8.078756332,9.955563545,26.49502182,562.4091187,0.240128234,609.161438,17,0,798.3942871,3476.341064,24927.40039,5943.274414,1922.931763,2142.38208,8.794199944,24.20226288,2.675946951,10.79101563,9.498040199,6.383629799,A,1,1
STABLE,LEK,2.586988688,71.99606323,12.17072392,2.578347683,4.62569952,4.110264778,26.5916481,651.7870483,0.135245308,573.5119019,17,0,924.0966797,10705.0127,43044.74609,15292.38574,829.9676514,2451.991699,15.20981407,17.02024651,3.328138113,6.115363121,10.9643507,3.150961399,A,1,1
STABLE,LEK,3.33759284,34.93498993,22.84348297,3.77222085,13.35345459,19.47681808,25.78067207,525.5921021,0.343336582,812.7341919,24,0,1537.065796,6306.056641,38812.75781,5421.928223,165.8275146,1577.520508,17.7438488,22.44658661,3.49623251,15.08950043,15.14022255,6.387434483,O,1,1
STABLE,LEK,3.493996382,71.98473358,11.58030319,3.662849188,4.287693024,2.879890442,26.34045982,654.2601318,0.076036669,622.979187,11,0,1434.097046,5299.446289,36344.82422,5269.77002,292.4226685,1875.970581,14.02921391,15.31253719,4.461549759,3.715293646,10.17997074,2.052576065,A,1,1
STABLE,LEK,4.212142467,70.1949234,12.00237846,3.971274853,4.431111336,3.04344964,26.32665253,655.5928955,0.076949835,621.9498901,13,0,1561.729736,5272.312988,37267.59766,5242.327637,263.54776,480.5504761,15.39149475,15.58473015,4.687541485,3.999887466,9.424262047,2.252671957,A,1,1
STABLE,LEK,2.990719557,66.37242126,11.44298744,3.493347645,7.290184498,5.716951847,26.35514832,657.8738403,0.075041376,620.7927856,11,0,1127.840332,2936.29834,28259.2832,2933.530518,256.0155029,1786.322632,18.44133186,15.47846413,3.308507442,4.47186327,8.483846664,3.015142918,O,1,1
STABLE,LEK,1.240830064,68.25276947,12.64211655,4.558423519,4.400797367,3.528720379,26.03001976,545.531311,0.006276348,710.5419922,0,0,0,2529.80835,7295.472168,4917.580078,5546.124512,6173.021973,19.88496971,8.708472252,1.961188316,1.830588102,6.57421875,1.309142828,A,1,1
STABLE,LEK,5.066110134,73.70176697,9.150639534,3.909396172,3.887008429,2.89129591,26.3722477,661.3136597,0.045432996,606.6275024,14,0,349.3798828,8229.050781,22213.23633,8203.020508,3305.844727,2152.860107,17.06172562,15.73925304,4.986933708,3.967935801,6.382397652,2.353539705,A,1,1
STABLE,LEK,2.457326174,41.52801514,20.86342621,3.743993998,11.98230457,15.94119549,25.72993279,525.795166,0.175549343,782.3253174,0,0,2115.659912,5039.971191,23962.59961,5014.66748,1171.152344,9672.608398,12.33267498,20.19120026,3.365362883,12.82748699,13.75940514,6.32557869,O,1,1
STABLE,LEK,4.714093685,74.02396393,9.129737854,3.987720251,3.849679947,2.885644913,26.37330818,660.7263184,0.041843984,606.5776978,14,0,273.0009766,8759.708008,22013.7207,8752.337891,3849.374268,2190.738281,17.88573265,15.24863338,5.073849201,3.892074585,6.293959618,2.332041025,A,1,1
STABLE,LEK,4.443588734,74.49609375,9.11097908,4.017761707,3.764021635,2.711197615,26.36650276,659.4077759,0.03497,608.6026001,14,0,280.8101196,8961.110352,22291.45508,8975.451172,4093.600342,2082.129639,17.56908989,14.94711876,5.216926575,3.346011877,6.365827084,2.130595207,A,1,1
STABLE,LEK,3.714488506,61.1566124,13.71578598,3.699557066,7.209838867,7.863567352,26.34451485,656.281311,0.027566919,613.430542,14,0,351.1017761,9450.013672,20318.52148,9479.649414,2847.598389,2504.389404,18.04365158,20.75826454,3.979736328,9.011706352,10.9383812,3.908083916,O,1,1
STABLE,LEK,4.063025951,60.06891251,17.38303566,2.190177917,6.134702206,8.152839661,26.21893692,616.3803101,0.065612696,647.6132813,8,0,915.670105,12706.95508,14789.57715,10457.49316,829.7861328,2469.979492,17.54801369,19.47275543,1.806079865,9.044384956,10.1105032,3.333714485,O,1,1
STABLE,LEK,4.091722965,72.677742,10.12478256,3.454420567,4.111693859,3.599315405,26.35021973,648.5960693,0.042659134,602.12677,22,0,1023.312805,14828.28125,20632.83789,7488.331543,1562.455078,788.175415,22.56376266,15.56163692,4.300221443,3.625838041,7.928802013,2.147574663,A,1,1
STABLE,LEK,3.882250547,62.56185532,12.27663517,3.125506639,7.267834663,8.081699371,26.26404953,642.5731201,0.0455111,620.565979,13,0,1048.177124,14855.44434,12850.41797,9562.756836,1781.625488,881.4161987,23.48412323,20.32228661,2.673967361,9.611721039,8.859102249,4.150633335,O,1,1
STABLE,LEK,5.415634632,69.12062836,11.77840805,3.529087067,4.313822746,3.853534937,26.40212822,652.7192383,0.060130943,585.2857666,24,0,1041.465332,15616.71973,18257.47461,5537.183594,2633.824951,753.2341919,21.96912766,16.86868095,4.413361549,3.958637238,8.73180294,2.310451031,A,1,1
STABLE,LEK,1.357131481,32.24420547,25.53905296,2.190450668,13.50449944,23.22938728,25.60020065,579.9456177,0.116751328,755.5689697,5,0,919.5544434,6144.009766,28274.08203,4590.432129,1116.52478,3773.607666,18.01199722,18.84975243,1.895424485,14.18828011,18.01556396,6.492949963,O,1,1
STABLE,LEK,5.039961338,62.11846542,13.06310081,3.877427101,6.41155386,5.691790581,26.26644897,668.2554932,0.091969639,587.338562,12,0,1114.107422,18928.79492,21389.78711,2301.275391,2505.427734,1733.500854,23.54683685,17.10752106,3.462985992,5.669714928,8.370718956,2.937852383,O,1,1
STABLE,LEK,3.309403658,68.0375061,14.22181797,2.25955081,5.033896446,5.455821514,25.97025871,630.0107422,0.201767206,679.3182373,43,0,1902.927612,986.1345215,9909.227539,1005.005798,50.91867065,250.4242096,13.68325138,20.33335114,2.251105785,7.796257496,12.70960045,3.54349041,A,1,1
STABLE,LEK,2.391911745,77.45007324,9.517173767,2.29529953,3.730632782,2.616559982,26.242239,639.1104736,0.041579187,612.213562,6,0,1348.102905,14991.97949,18729.72656,5870.392578,835.2054443,1064.887573,23.56163216,13.43876743,2.657981873,3.505265713,7.25819397,2.037644625,A,1,1
STABLE,LEK,1.850046515,80.17444611,8.20546627,2.12725544,3.555452108,2.223021507,26.21430969,637.4519043,0.021791669,622.0713501,10,0,911.4266357,13222.01074,17215.61719,6596.026855,909.4332886,1482.027466,21.32459259,10.76417637,2.383272409,3.069881678,5.104054928,1.811033845,A,1,1
STABLE,LEK,1.784669876,41.45112991,21.44002533,2.828711987,13.63417149,16.21047783,25.53165436,528.3221436,0.42174533,786.1314697,1,0,2728.945557,6398.672363,11099.82129,6417.956543,216.9387817,3858.579346,8.046238899,24.92725945,2.373889685,12.79554653,20.02771759,8.209500313,O,1,1
STABLE,LEK,3.508457661,46.17850113,27.25683403,2.025838375,7.715513229,11.26727962,25.66721153,612.1333618,0.633939981,741.0227661,0,0,2056.902344,1640.019775,10991.50391,4987.966309,1088.450317,6353.080078,9.564388275,22.30709648,2.102412462,13.11040401,19.53615189,6.683491707,A,1,1
STABLE,LEK,1.227393627,43.51344299,19.55828285,3.176365614,13.18224239,16.9543972,25.47843742,537.1764526,0.665144682,789.8398438,0,0,2833.813965,7151.785156,7085.201172,5286.264648,599.9945679,6546.288086,8.519083023,24.74760246,2.505640268,12.12988281,19.4252243,7.465128899,O,1,1
STABLE,LEK,3.454129219,50.81136322,17.96777725,2.931840181,9.941082954,12.18473339,26.09157944,637.2155151,0.137800351,633.4815063,5,0,1592.031372,9559.157227,6150.931152,2018.25354,597.0316772,2687.834717,15.2283783,24.52174187,2.759676933,10.85703373,13.90083885,5.553186417,O,1,1
STABLE,LEK,4.398352623,53.16760254,16.86637878,3.697874069,9.051254272,9.595930099,26.09846115,649.6397705,0.276388347,627.1135864,9,0,2025.239746,9450.886719,10043.44922,5665.21582,180.266571,1134.65686,13.98675537,20.61356544,3.446530819,9.152173042,12.03847599,4.688783169,O,1,1
STABLE,LEK,1.760918856,42.54561615,22.13979912,2.5860672,12.76599598,15.35920906,25.50355911,566.1918945,0.537195385,783.5195313,2,0,2568.991943,6165.005371,15465.19043,3639.750732,754.5980835,2371.691895,9.717715263,23.62880135,2.349607944,13.03291225,19.09565163,7.830420017,O,1,1
STABLE,LEK,4.194427967,56.57493591,20.42945671,2.296550274,6.961166859,7.671405792,26.05858421,649.0054932,0.482572466,635.0990601,8,0,2431.19165,7601.563965,7075.198242,7160.24707,261.7289429,2037.17395,11.74061966,22.65904808,2.818987131,8.356110573,14.66424751,5.232939243,A,1,1
STABLE,LEK,4.292864323,64.53199005,12.7873497,3.785986185,6.476733208,5.835754395,25.9967308,632.024231,0.223832443,649.3581543,4,0,2009.122314,6866.476074,12012.14551,3204.923584,859.0374146,2310.713623,15.21713924,19.36567497,4.745443344,7.595264912,9.942542076,3.940910578,A,1,1
STABLE,LEK,4.311020851,62.15075302,14.05924606,3.670512438,6.832247257,6.66185236,25.98272896,631.8103638,0.282937884,652.5687256,3,0,2143.646973,6189.81543,11664.21094,3802.142578,199.1712494,2964.552734,14.79111385,20.31108856,4.578458786,8.640257835,11.15016365,4.306885719,A,1,1
STABLE,LEK,2.219034672,53.6438179,17.00066757,2.410726547,10.39524078,10.71229744,25.53212357,568.553772,0.46265623,774.5522461,4,0,2084.437744,7787.361816,17096.17188,1874.987183,370.6246643,4596.936523,10.56777477,22.65270042,2.129328251,10.56668282,17.19354439,6.9299016,O,1,1
STABLE,LEK,1.957810283,52.6908493,21.23688126,2.241770267,8.565353394,10.34106255,25.48301125,559.053772,0.655517459,783.8955688,0,0,1925.96814,4229.639648,10367.90918,4264.483887,449.8120422,7905.401367,8.953339577,23.56201363,1.903821588,12.39492893,19.20031738,7.215586662,A,1,1
STABLE,LEK,6.390905857,53.65483856,14.68801022,3.538508654,9.505289078,8.607514381,26.0017643,654.6029663,0.231196851,635.8289185,25,0,1464.274048,9440.318359,19170.30664,19149.51172,592.7697754,401.0468445,4.01256609,19.7650528,3.209253788,6.994654655,9.664557457,4.487765312,O,1,1
STABLE,LEK,4.639935017,32.28802109,29.86263657,2.037262678,12.64271832,16.71569252,25.72914314,596.609314,0.264299989,689.0284424,1,0,651.3410034,6826.773926,10761.79883,20181.60352,3595.11499,4881.439941,4.362604618,21.12836456,2.003723145,11.66667652,20.26042557,7.869835854,O,1,1
RANDOM,RANDOM,6.206284523,45.37703705,20.82386971,2.992938519,9.562099457,11.53280067,25.85019302,639.3778687,0.788089871,660.9431763,7,0,2972.624023,8545.204102,27296.73438,11436.62695,54.96708298,1533.649048,4.673752785,19.07530403,3.404555798,10.4773283,11.21208858,5.092419147,A,0,0
