POINT_C,POINT_TYPE,AveTree,AvePFG,AveAFG,AveBG,AveShrub,AveLit,DensOil,DensRoadway,DensWind,DistHighway,DistOil,DistRoadway,DistWind,Ruggedness,VarAFG,VarPFG,VarBG,VarTree,VarLit,VarShrub,AvePrecip,AveTemp,AveCrop,AveElev,DistTrans,Data_set,Stable_lek,PT_Type
STABLE,LEK,2.717666626,74.3804245,5.408582687,6.206313133,3.049627304,5.722161293,2,2514.904785,0,3.088498535,1.126827148,0.349741364,31.44891797,12.51010418,6.165252209,16.48492622,8.081224442,3.38508153,3.744889021,2.481354237,579.9074097,25.9922924,0.121268034,743.6769409,11.20155078,A,1,1
LEK,LEK,4.036980629,70.81555939,7.03069973,4.996032238,4.216618061,6.048677444,0,1429.088135,0,2.196955811,5.675364746,0.701352112,19.34140234,22.07696533,6.320580482,12.58749008,3.888288498,4.599534035,2.342960596,3.573294878,580.7376099,26.2546978,0.049411152,696.7694092,7.466525879,A,0,1
STABLE,LEK,3.095803499,72.13381958,6.602296352,6.782732964,2.888813734,5.987277985,3,2164.562256,0,1.132734619,1.749388306,0.276766602,31.22585352,15.82151699,7.412293911,18.97265434,9.293881416,4.28396368,4.202263832,2.094973564,579.942688,26.02983665,0.153652191,736.4542847,11.44333398,A,1,1
STABLE,LEK,2.774703026,73.78250122,5.695006371,6.587862968,2.87374115,5.906885624,3,2410.295654,0,2.752145752,0.706220276,0.483796417,32.91826563,13.56892586,6.51330328,17.73552132,8.837418556,3.58210063,3.834624052,1.981775999,580.5780029,25.98867607,0.151008964,744.7918701,12.80198438,A,1,1
LEK,LEK,2.62558651,74.44280243,5.852190495,5.824997902,3.41973424,5.580764294,3,2027.929688,0,1.855797729,2.490208496,0.248143417,34.77661328,11.63004112,6.039239407,16.63806152,7.984675884,3.176178694,3.572719812,4.024864674,580.7696533,25.95908737,0.129314288,750.7623901,14.58947852,A,0,1
STABLE,LEK,2.615676165,73.9683609,6.072494507,5.783052444,3.593702078,5.623809338,4,2125.532959,0,1.231079468,2.292602783,0.400488098,34.86620703,11.41486454,5.95271349,16.43464851,7.902786255,3.02953577,3.552621603,4.291088104,580.8399048,25.94915962,0.122643173,751.9091797,15.17870605,A,1,1
STABLE,LEK,2.687465429,73.6654892,6.109427929,5.645247459,3.8489182,5.599390507,4,2090.572021,0,1.095264526,1.895338257,0.509110107,35.18886328,11.61020851,5.783516884,16.18650818,7.721148491,3.394641876,3.45188427,4.942121983,580.8056641,25.9426899,0.109530531,752.2207642,15.27942578,A,1,1
LEK,LEK,2.768262386,72.17468262,6.652252197,6.088328362,3.767275095,5.856317997,4,2035.099731,0,0.127068848,0.587610779,0.119344986,34.79122266,11.00850296,5.942269802,16.88595963,8.169127464,3.18699193,3.60138464,4.469455242,580.9000244,25.93927956,0.122541457,754.4549561,14.3668125,A,0,1
LEK,LEK,2.96810627,72.51146698,7.402546406,4.531776428,4.254388809,5.302812099,11,1893.177368,0,0.154172165,1.732649414,0.154172165,36.34063281,12.70541477,5.68686676,13.21482563,4.149139404,4.119595528,2.385715723,5.095135212,580.217041,25.93093109,0.066554949,753.3950195,14.72320508,A,0,1
STABLE,LEK,2.926001072,70.38463593,7.637095451,6.43148756,3.884150028,5.969845772,6,2206.535645,0,1.566705933,0.956869568,0.092825043,34.09180859,11.18850327,6.379599094,17.42939186,7.81691885,3.249950886,3.30698204,4.070550919,580.9963379,25.94357872,0.156283975,755.6697998,13.14706738,A,1,1
